image,label
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_13857_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_1337_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_13746_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_11512_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_13452_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_13019_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_13877_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_14326_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_11209_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_10042_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_12224_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_10059_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_13497_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_11139_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_10548_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_12803_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_10416_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_12360_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_12867_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_11839_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_12393_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_10474_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_11119_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_12046_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_12860_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_12879_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_12178_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_10934_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_1033_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_1113_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_13955_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_10306_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_13085_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_11411_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_12672_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_11874_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_13780_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_13083_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_12042_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_10809_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_1001_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_11378_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_12560_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_10079_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_13381_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_11203_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_14159_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_12985_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_12100_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_1085_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_11620_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_1285_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_13363_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_10222_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_14066_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_12998_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_12387_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_13979_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_13153_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_13297_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_11523_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_10136_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_10581_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_11700_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_1177_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_11132_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_12646_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_12883_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_13518_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_13499_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_11131_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_11399_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_10296_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_1022_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_10073_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_13961_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_13404_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_1305_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_12672_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_13996_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_10153_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_14002_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_12474_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_11098_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_1278_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_1245_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_13602_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_14480_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_13205_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_12491_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_10567_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_12916_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_13644_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_1300_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_1436_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_11538_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_14092_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_13967_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_12600_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_14314_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_12877_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_11955_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_11017_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_13125_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_11991_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_12756_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_13306_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_14090_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_10984_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_13671_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_12669_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_14056_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_13246_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_12555_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_10063_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_1045_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_11529_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_13581_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_10604_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_13295_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_11924_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_14358_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_10205_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_1217_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_12886_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_10677_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_10462_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_13038_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_10127_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_12134_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_12826_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_14414_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_11680_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_13508_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_12807_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_12208_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_13348_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_11126_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_12570_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_13420_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_11883_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_13621_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_13552_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_12485_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_12546_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_12218_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_13641_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_12104_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_14157_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_10947_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_10929_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_13599_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_1019_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_11692_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_11243_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_1063_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_10962_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_12483_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_14273_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_11209_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_11014_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_13371_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_13984_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_13904_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_13214_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_10821_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_12609_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_11793_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_13124_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_10398_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_10181_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_10712_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_10935_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_10345_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_13829_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_11533_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_11869_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_12652_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_10735_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_10521_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_13604_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_13663_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_13278_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_13196_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_12975_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_11961_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_11865_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_11670_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_12650_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_13775_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_12536_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_12210_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_12544_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_13409_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_11340_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_12946_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_1394_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_11527_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_11438_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_12994_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_13576_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_11359_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_13104_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_11413_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_1400_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_10481_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_13788_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_10003_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_14116_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_10655_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_12712_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_10811_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_11520_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_144_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_14040_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_14184_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_14152_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_13745_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_10789_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_13591_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_13407_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_10683_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_10411_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_11256_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_11842_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_12059_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_1298_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_1104_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_10530_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_10239_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_13753_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_11447_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_1194_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_13744_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_13012_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_10317_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_11223_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_13474_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_13176_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_12532_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_13091_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_116_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_12106_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_11301_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_11117_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_13661_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_11207_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_1012_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_12054_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_13499_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_13316_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_13760_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_12262_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_10751_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_11575_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_11991_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_11594_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_10787_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_10823_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_128_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_10763_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_10459_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_10750_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_14188_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_1086_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_11518_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_11341_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_14128_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_12677_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_11282_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_10998_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_12806_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_13992_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_14482_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_13340_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_10068_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_11072_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_10420_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_10134_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_1324_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_11979_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_10542_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_10769_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_1308_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_10686_output.jpeg,0
